Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#28206|closed|bug, Service Bus|[BUG] Examine Pattern.compile usage in sdk\servicebus|The following files have an instance of `Pattern.compile()` that should be exami
#28179|closed|bug, Client, customer-reported, needs-team-attention, azure-|[BUG] Updated version of azure-spring-cloud-stream-binder-servicebus-topic requi|**Describe the bug** CVE-2022-22963: Remote code execution in Spring Cloud Func
#28128|closed|bug, Client, needs-author-feedback, no-recent-activity, azur|[BUG] Azure Key Vault integration in Spring Cloud Azure 4.0 fails when using onl|**Describe the bug**  The config below is the one officially [documented](http
#28125|closed|bug, Service Bus, Client, needs-team-attention|[BUG]queueName or topicName does not make any difference for ServiceBusSenderAsy|**Describe the bug** A clear and concise description of what the bug is. queue
#28031|closed|bug, Client, needs-author-feedback, azure-spring, azure-spri|[BUG] Spring Cloud Azure 4.0 Actuator StorageBlobHealthIndicator|**Describe the bug** I'm having an issue with StorageBlobHealthIndicator. Acces
#27943|closed|bug, Client, OpenTelemetry|Distributed tracing with 3P tools (New Relic, Dynatrace, AppDynamics, Datadog an|There are informal reports that 3P tools don't pick up azure-core-tracing-opente
#27831|closed|bug, Client, azure-spring, issue-addressed|[BUG] Use Azure Resource Manager to retrieve Connection String doesn't work|**Describe the bug** When using the Spring Cloud Azure Stream Binder for Servic
#27772|closed|bug, Client, azure-spring, azure-spring-aad|ID tokens should not be used for authorization purposes|## Context  [Microsoft identity platform ID tokens](https://docs.microsoft.com
#27620|closed|bug, Client, azure-spring, azure-spring-servicebus|[BUG] Support all exposed message headers/properties from ServiceBusReceivedMess|When converting `ServiceBusReceivedMessage` to a Spring Message in `ServiceBusMe
#27618|closed|bug, Client, azure-spring|Problems of configured Azure SDK Client bean.|In Sprig Cloud Azure 4.0, we provided a new feature: configure Azure SDK Clients
#27578|closed|bug, Service Bus|[BUG] Service Bus ServiceBusReceiverClient stop receiving message in a new threa|**Describe the bug** When use `ServiceBusReceiverClient.receiveMessages(int max
#27574|closed|question, bug, azure-spring, azure-spring-keyvault|[BUG] KeyVaultEnvironmentPostProcessor should not be enabled when only using spr|**Describe the bug** When including dependency `spring-cloud-azure-stream-binde
#27548|closed|bug, Client, customer-reported, Azure.Identity, Docs|Broken link|[Enter feedback here]  In Section "Authenticating in Azure with Managed Identi
#27547|closed|bug, Event Hubs, customer-reported, needs-team-attention|some threads are stil running after calling eventProcessorClient.stop()|**Describe the bug** calling eventProcessorClient.stop() I still see threads ru
#27520|closed|bug, Event Hubs, Service Bus|[BUG] Event Hub and Service Bus Producers should attempt to create a connection |Currently, if a connection is not reopened within the retry policy, the entire p
#27454|closed|bug, Monitor, Client, customer-reported, needs-team-attentio|[BUG] Setting an aggregation for a metrics query doesn't work|**Describe the bug** I'm building a small client application that gathers traff
#27380|closed|bug, Storage, customer-reported|[BUG] BlobClient.uploadFromFileWithResponse() continues to saturate network afte|**Describe the bug** BlobClient.uploadFromFileWithResponse() accepts a timeout 
#27379|closed|bug, Storage, customer-reported|[BUG] BlobClient.UploadFromFile(,,,,,,,,) drops timeout parameter|**Describe the bug** The function BlobClient.UploadFromFile(string filePath, Pa
#27364|closed|bug, Client, Azure.Identity, blocking-release|[Identity] Getting a token via VisualStudioCodeCredential using v0.10.0 of the A|Name of the cache where the token is stored has [changed from version 0.9.11 to 
#27349|closed|bug, Client, azure-spring, azure-spring-servicebus|ServiceBusTemplate should not support partition id|Due to partition id is not supported in Service Bus, referring https://docs.micr
#27336|closed|bug, Service Bus, Client|[BUG] Process messages of multiple sessions in parallel and keep ordering|We are using the Java azure-messaging-servicebus 7.5.2 Maven package. Our goal i
#27278|closed|bug, Client, needs-team-attention, azure-spring, azure-sprin|[BUG] Allow users to configure the max size for share file when using spring-clo|**Describe the bug** The current max size 1024 is not supported to change, If i
#27181|closed|bug, Client, Azure.Core, customer-reported, needs-team-atten|[BUG] com.azure.core.implementation.ReflectionUtils.getLookupToUse fails with 'j|**Describe the bug** The recently introduced JDK-9 specialization of the `com.a
#27172|closed|bug, Client, azure-spring, azure-spring-eventhubs|[BUG] Spring Cloud Stream Event Hubs binder lose messages which are published wh|**Describe the bug** When using Spring Cloud Stream Event Hubs binder to consum
#27159|closed|bug, KeyVault, Client, customer-reported, Docs|[BUG] Azure KeyVault SDK for Java docs should indicate support for Managed HSM|**Describe the bug** Azure Key Vault and Azure Managed HSM both support the Key
#27121|closed|bug, Event Hubs, Client|[BUG] EventHubs - LastEnqueuedEventProperties methods throw Null Pointer Excepti|**Describe the bug** This is related to EventHubs SDK - processEventBatch Cons
#27052|closed|bug, Client, azure-spring|[BUG] ServiceBus and EventHub producer examples require processor and attempt  t|When I want to **send** messages using `ServiceBusTemplate` or `EventHubsTemplat
#26972|closed|bug, Event Hubs, Client, customer-reported, tracking-externa|ReactiveException while executing updateCheckpoint|**Describe the bug** When updateCheckpoint() is executed in the same time frame
#26921|closed|bug, Event Hubs, Client, customer-reported, needs-author-fee|NullPointerException when publishing events to EventHub|**Describe the bug** When publishing to EventHub using the latest SDK, we get a
#26915|closed|bug, Client, azure-spring, azure-spring-aad|[BUG] The auto-configurations of AAD starter should not be enabled when no depen|**Describe the bug** Currently, the auto-configurations of AAD starter should n
