Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#35291|closed|ARM, Mgmt, customer-reported, bug, needs-team-attention|[BUG] Different response header value returned by the SDK|### Library name and version  Azure.ResourceManager.Resources v1.4.0  ### Descri
#35290|closed|ARM, Mgmt, bug, needs-team-attention|[BUG] SetTagsAsync method sending 2 requests|### Library name and version  Azure.ResourceManager.Resources v1.4.0  ### Descri
#35245|closed|KeyVault, Client, customer-reported, bug, needs-team-attenti|[BUG] Key Vault: Certificate appears to be serialized incorrectly|### Library name and version  Azure.Security.KeyVault.Certificates Latest ver
#35221|closed|Cognitive Services, Mgmt, needs-author-feedback, customer-re|[BUG] CognitiveServicesAccountCollection.GetAll throws System.FormatException in|### Library name and version  Azure.ResourceManager.CognitiveServices 1.2.1  ###
#35205|closed|needs-triage, bug|another new test issue|edit, should not get reverted. this is a description that the bot should not mod
#35194|closed|Storage, Client, bug, test-reliability|[Storage] [Tests] Flakey Live Test - SetImmutibilityPolicyAsync_IfModifiedSince_|### Library name  Azure.Storage.Blobs  ### Please describe the feature.  SetImmu
#35154|closed|ARM, Mgmt, customer-reported, bug, needs-team-attention|[BUG] FormatException in ResourceIdentifier|### Library name and version  Azure.Core 1.28.0  ### Describe the bug  Whe
#35152|closed|Mgmt, customer-reported, bug, needs-team-attention, Security|[BUG] Arm Client doesn't use the set ApiVersion in ArmClientOptions when working|### Library name and version  Azure.ResourceManager.SecurityInsights  ### Descri
#35076|closed|Mgmt, customer-reported, bug, needs-team-attention|[BUG] Rest.ClientRuntime.Azure.Authentication references deprecated lib with vul|### Library name and version  Microsoft.Rest.ClientRuntime.Azure.Authentication 
#35054|closed|Storage, Client, bug, test-enhancement|[DataMovement] [Blobs] Test coverage for BlobStorageResourceContainer|### Library name  Azure.Storage.DataMovement.Blobs  ### Please describe the feat
#35010|closed|Storage, Client, customer-reported, bug, needs-team-attentio|[BUG] Transient issue with mismatch x-ms-client-request-id error occurring when |### Library name and version  Azure.Storage.Blobs v12.15.0  ### Describe the bug
