Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#48126|open|bug, customer-reported, needs-team-attention|Netty version difference between Azure Cloud and Spring Boot|We would like to hear from MSFT team on this Netty Version difference between mu
#48030|closed|bug, Service Bus, Service Attention, Client, customer-report|[BUG] DefaultServiceBusNamespaceProcessorFactory doesn't remove disposed/closed |**Describe the bug** The DefaultServiceBusNamespaceProcessorFactory fails to cle
#47883|open|bug, Cosmos, Service Attention, Client, customer-reported|High CPU usage after upgrading to Azure Cosmos DB Java SDK 4.76.0|**Describe the bug** After upgrading to Azure Cosmos DB Java 4.76.0 (com.azure:a
#47688|open|bug, customer-reported, needs-team-attention, Communication |[BUG] chatClient.createChatThread reuses a old thread ID and sets thread to dele|**Describe the bug** When creating a new chat thread using the SDK, sometimes th
#47681|open|bug, customer-reported, needs-team-attention|[BUG] response errors missing a "message", causing IllegalStateException|**Describe the bug** When `SearchClient.indexDocuments()` is called and the serv
#47647|closed|bug, KeyVault, customer-reported, needs-team-attention|[BUG] Azure KeyVault - SecretAsyncClient NPE hides real exception.|**Describe the bug** There are some conditions such as invalid credentials where
#47640|closed|bug, ARM, Mgmt, customer-reported, issue-addressed|[BUG] subscription client - alias creation has no additional properties field|**Describe the bug** When creating an alias with the Resource Manager Subscripti
#47623|closed|bug, Client, customer-reported, needs-team-attention, azure-|[BUG] Azure App Config not Working in Spring boot 4.x / spring framework 7.x bet|**Describe the bug** We are currently testing the beta version of v7 and running
#47616|closed|bug, Azure.Core, customer-reported, needs-team-attention|azure-core-http-netty:1.6.12    CVE-2025-67735|When will Azure SDK be updated for vulnerability  CVE-2025-67735?  https://www.c
#47614|open|bug, Client, customer-reported, Azure.Identity, needs-team-a|[BUG] AzureCliCredential fails in non-interactive environments due to hardcoded |**Describe the bug**  When using `AzureCliCredential` in a non-interactive envir
#47593|open|bug, Cosmos, Service Attention, Client, customer-reported|[BUG] Azure Cosmos Java sdk not validating item ids|**Describe the bug** Azure Java SDK for Cosmos lacks proper validation when inse
