Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#34821|closed|bug, Compute, Mgmt, customer-reported, needs-team-attention|List snapshots and list disk API call failed if any other api hits at same time |- **Package Name**: azure-mgmt-compute - **Package Version**: 29.1.0 and 10.3.0
#33751|closed|bug, Client, Azure.Core|[Core] `HttpRequest.set_text_body` makes breaking change to Content-Type header|Key Vault SDKs sometimes manipulate request bodies during challenge-based authen
#33682|closed|bug, Client, App Configuration|[AppConfig] Different "etag" consumed in sync and async operation|In operation `set_configuration_setting`, the [sync one](https://github.com/Azur
#33623|closed|bug, Service Attention, Client, customer-reported, Monitor -|Verbose logs are emitted at INFO level when telemetry is sent to Application Ins|- **Package Name**: azure-monitor-opentelemetry - **Package Version**: 1.1.1 -
#33415|closed|bug, Service Attention, Client, customer-reported, needs-tea|Bug with downloading recording using the RecordingFileStatusUpdated event|- **Package Name**: azure-communication-callautomatiion - **Package Version**: 
#33384|closed|bug, Client, Document Intelligence|DocumentIntelligence default polling_interval should be 5 seconds|In absence of override by the SDK writer, or in absence of value from the servic
#33362|closed|bug, Service Attention, Client, customer-reported, needs-tea|Misspelling in the ACS Email Sending Sample Code| [Enter feedback here] seems EmailClient object name is not match. >**client*
#33318|closed|bug, Client, Document Intelligence|[DI] Live pipelines are failing|Live pipeline [python - documentintelligence - tests](https://dev.azure.com/azur
#33317|closed|bug, Storage, customer-reported, needs-team-attention|create_file fails if file_last_write_time is passed a datatime object|```python file_client.upload_file( data=data , file_last_write_time=dt ) ``` 
#33198|closed|bug, Storage, Client, customer-reported, needs-team-attentio|StorageStringDownloader.readinto() fails when encoding specified.|When calling `download_blob` with `encoding='utf-8'` (or any non-None value) the
#33154|closed|bug, Storage, Client, customer-reported, issue-addressed|Listing Blobs does not retrieve expected metadata|- **Package Name**: azure-storage-blob - **Package Version**: 12.19.0 - **Oper
#33073|closed|bug, Client, App Configuration|[AppConfig] Inconsistent usage of "etag" in sync and async set_configuration_set|Here's the current etag usage in sync `set_configuration_setting()`: https://gi
#33021|closed|bug, feature-request, Client, Azure.Identity|InteractiveBrowserCredential returns localhost URL in GitHub Codespaces|- **Package Name**: azure-identity - **Package Version**: 1.15.0 - **Operating
#32968|closed|bug, Client, customer-reported, Azure.Core, Azure.Identity|`AsyncBearerTokenCredentialPolicy` depends on `asyncio`|- **Package Name**: azure-synapse-artifacts, azure-identity - **Package Version
