Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#2135|closed|HDInsight, Service Attention, bug|Avro Serializer looses offset from DatetimeOffset  if useEpochTime is set|When roundtripping a `DateTimeOffset` property with an offset different to 0 the
#2131|closed|HDInsight, Service Attention, bug|AvroUnion serialization does not work for properties with explicit type|eg. When attempting to serialize an object of following type  ``` [DataContract]
#1986|closed|Scheduler, Service Attention, Mgmt, bug|calling CloudServiceManagementClient.Create on a pre-existing cloud service, an |The following code works fine the first time through - a fresh cloud service nam
#1982|closed|HDInsight, Service Attention, bug|When a field is an AvroUnion of Null and a Non-primitive type, incorrect code is|I was working with a schema (attached in .zip) with a field defined like so:  ``
#1934|closed|Resource Authorization, Service Attention, Mgmt, bug|AutoRest generated Graph RBAC Management SDK is broken for Application.Create|When creating an application using Graph RBAC management SDK 2.2.0-preview, the 
#1894|closed|Service Bus, Service Attention, bug|CloudException when creating Shared Access Key for queues|The following results in CloudException 400. I tried every possible way to send 
#1887|closed|HDInsight, Service Attention, bug|HDinsight: cannot configure http settings - MethodNotAllowed|Using latest SDK package and when trying to call  `hdinsightClient.Clusters.Conf
#1863|closed|Resource Authorization, Service Attention, Mgmt, bug|SerializationException when trying to create an AAD application|Hi, I'm trying to use the Azure Graph RBAC SDK (Microsoft.Azure.Graph.RBAC) to c
#1749|closed|ARM, Service Attention, Mgmt, bug, ARM - Templates|Passing in an object to DeploymentProperties.Parameters fails to serialize and r|Creating an Azure Resource Manager Deployment by specifying the parameters as an
#1719|closed|Service Bus, Service Attention, bug|ServiceBusManagementClient CreateNamespace returns 400 Bad Request with Guid as |The following is a bug within the Service Bus REST resource provider API:  Based
