Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#23161|closed|bug, Event Hubs, Client, customer-reported, pillar-reliabili|AzureEvent Hub Consumer is missing messages intermittently when we stop and star|**Describe the bug** We have an Azure Event Hub consumer process coded in Java 
#23156|closed|bug, Service Bus, Client, customer-reported, Docs|[BUG] ServiceBusClientBuilder wrong documentation about prefetchCount|**Describe the bug** The ServiceBusClientBuilder states that the default `prefe
#23154|closed|bug, Client, customer-reported, needs-team-attention, azure-|[BUG] disabling AAD authentication no longer possible through configuration|**Describe the bug** Since azure-spring-boot-starter-active-directory 3.7.0 is 
#23146|closed|bug, Client, Azure.Identity, tracking-external-issue, blocki|[BUG] Unable to acquire token using UsernamePasswordCredential and "/common" aut|**Describe the bug**  We are unable to acquire token using _com.azure.identity
#23134|closed|bug, azure-spring, azure-spring-aad-b2c|[BUG] aad-b2c-starter should not use AAD's token endpoint.|In current implementation, aad-bec-starter is using AAD's token end point. It d
#23113|closed|bug, Cosmos, Client, customer-reported|Cosmos db OLTP connector custom query with TOP or Limit clause return wrong numb|**Describe the bug** Cosmos db OLTP connector custom query with TOP or Limit cl
#23084|closed|bug, Client, customer-reported, azure-spring, azure-spring-c|[BUG] Query with nested property that contains spaces causes invalid parameter n|**Describe the bug**  Issuing a query using custom `Criteria` through a `Cosmo
#23082|closed|bug, Client, customer-reported, azure-spring, azure-spring-a|[BUG] spring-boot-starter-activedirectory-b2c baseUri is missing in the sample c|**Describe the bug** The README doesn't use `baseUri` in some of the configurat
#23055|closed|bug, Service Attention, Mgmt, customer-reported, issue-addre|[BUG] ConsumptionManager.usageDetails fails with deserialization exception when |Can't retrieve usage details for subscriptions that return modern records. Snip
#23035|closed|bug, Client, needs-author-feedback, no-recent-activity, azur|[BUG] Tracing is broken for EventHub binder|**Describe the bug** Following the [eventhub binder app doc](https://docs.micro
#23031|closed|bug, Storage, Client, Azure.Core|[BUG] Upload blob from InputStream throws OOM .|Attempting to run this test https://github.com/Azure/azure-sdk-for-java/blob/c5a
#23027|closed|bug, azure-spring, azure-spring-eventhubs|EventHubMessageConverter uses Char.defaultCharset|I encountered a bug in SO: https://stackoverflow.com/questions/68410571/junk-val
#22893|closed|bug, Client, customer-reported, azure-spring, azure-spring-s|Azure Spring Stream Binder Service Bus Topic - azure_service_bus_time_to_live he|**Describe the bug** Azure Spring Integration automatically adds an "azure_serv
