Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#46434|closed|bug, Storage, Client, customer-reported, needs-team-attentio|[BUG] java.nio.file.Files/exists, when called on non-existent "file," triggers t|**Describe the bug** If called with an AzurePath that does not resolve to a vali
#46368|closed|bug, customer-reported, needs-author-feedback, OpenAI|[BUG] Random Exception Encountered in Azure OpenAI getChatCompletions API|**Describe the bug** We recently encountered an intermittent exception during th
#46349|closed|bug, Client, customer-reported, needs-team-attention, needs-|[BUG] gpt-5 crashes On-Your-Data feature due to 'max_tokens' in request|**Describe the bug** Using the new gpt-5 as model for the On-Your-Data features 
#46325|closed|bug, Service Bus, Client, customer-reported, needs-team-atte|[BUG] NPE|**Describe the bug** I discivered in our logs a bug related to servicebus librar
#46267|open|bug, Cosmos, Service Attention, Client, customer-reported|[BUG] Cannot perform queries involving ORDER BY RANK FullTextScore using the Azu|**Description:** Azure Cosmos DB Java SDK works for almost every query, except w
#46231|open|bug, customer-reported, Azure.Identity, needs-team-attention|[BUG] Deadlock when using `DefaultAzureCredential`s and virtual threads are avai|**Describe the bug** When using two or more `DefaultAzureCredential` instances t
#46227|open|bug, Client, customer-reported, needs-team-attention, azure-|[BUG] Azure Service Bus: com.azure.core.http.policy.RetryPolicy: {"az.sdk.messag|**Describe the bug**  spring cloud stream binder service bus failing after upgra
#46159|closed|bug, ARM, Mgmt, customer-reported, Synapse|[BUG] Role assignment to Synapse workspace fails with RoleDefinitionDoesNotExist|**Describe the bug** I'm using the azure-resourcemanager SDK (com.azure.resource
#46101|closed|bug, customer-reported, issue-addressed, OpenAI|[BUG]  The visibility of getImageGenerationsWithResponse should be public|**Describe the bug**  The interface `com.azure.ai.openai.OpenAIAsyncClient#getIm
#46085|closed|bug, Service Bus, Client, customer-reported, needs-author-fe|Async complete method for ServiceBusReceiverClient|**Query/Question** I am looking for a async complete method in `ServiceBusReceiv
#45921|open|bug, customer-reported, needs-team-attention, AI Agents|[BUG] Incorrect API path in listRunStepsSync returns run data instead of steps (|**Describe the bug** The listRunStepsSync method uses an incorrect path (/thread
#45846|closed|bug, customer-reported, Docs, needs-author-feedback|api crm|### Type of issue  Typo  ### Description    [Enter feedback here]   ### Page URL
#45839|closed|bug, Service Bus, Client, customer-reported, needs-team-atte|confusing examples of disableAutoComplete()|### Type of issue  Typo  ### Description  The first example of a processorClient
#45833|closed|bug, customer-reported, needs-team-attention, azure-spring, |[BUG] Spring Cloud Azure Key Vault secret value is null when using managed ident|**Describe the bug**  I'm using spring-cloud-azure-starter-keyvault-secrets vers
#45792|closed|bug, Service Bus, customer-reported, needs-team-attention|[BUG] Azure Service BUS : did not have any active links in the past 300000 milli|**Describe the bug** did not have any active links in the past **300000** millis
#45602|closed|bug, EngSys, Client, needs-team-attention, azure-spring|Use spring-cloud-azure-supported-spring.json from SHA running in pipeline|While reviewing a version update PR for Cosmos I found that the Spring compatibi
#45562|closed|bug, customer-reported, needs-team-attention, Digital Twins,|[BUG] An invalid continuationToken was provided (azure-digital-twins-core)|**Describe the bug** When querying a medium size list, an exception is thrown.  
#45521|open|bug, Cosmos, Service Attention, Client, customer-reported|[BUG] Cosmos – CustomItemSerializer - not working in certain queries and not app|**Describe the bug**  I have a question and a potential bug related to the seria
#45460|closed|bug, customer-reported, needs-team-attention, azure-spring|[BUG]spring.cloud.azure.servicebus.processor.session-idle-timeout=PT10S is not r|We have the spring application which consumes the message from the session enabl
#45447|closed|bug, Service Bus, Service Attention, customer-reported, need|[BUG] Exception links to a page that cannot be found - http://go.microsoft.com/f|**Describe the bug** When getting an exception it refers you to this link `http:
#45277|closed|bug, customer-reported, azure-spring, azure-spring-jca, issu|[BUG] azure-security-keyvault-jca 2.11 JAR publishes (multirelease) classes unde|**Describe the bug** Azure-security-keyvault-JCA pom.xml declares its intention 
#45263|closed|bug, customer-reported, azure-spring, azure-spring-keyvault|[BUG] spring boot 3.4.5 containers hang at starting up for keyvault property-sou|**Describe the bug** Containers hang at starting up since upgrading from 3.0.7 t
#45248|closed|bug, Event Hubs, customer-reported, needs-author-feedback, T|[BUG] EventProcessorClient stops consuming d2c messages after timeout exception |**Describe the bug** In certain scenarios a event processor client disposal gets
#45195|closed|bug, customer-reported, needs-author-feedback, no-recent-act|[BUG] AzureMessageConverter Bean Conflict Prevents Concurrent Use of Event Hubs |I am using both consumers and suppliers for Event Hubs and Service Bus simultane
#44965|closed|bug, Client, customer-reported, needs-team-attention, azure-|[BUG] spring-cloud-azure-stream-binder-servicebus does not shutdown gracefully|**Describe the bug**  When receiving shutdown signal, consumer beans are continu
#44926|open|bug, customer-reported, Azure.Identity, needs-team-attention|Retrying errors that can never succeed|> Looking into this, passing in the custom Exponential Backoff class is the bett
#44804|closed|bug, customer-reported, Azure.Identity, needs-author-feedbac|[BUG]The host of the Microsoft Entra authority for tenants in the Azure China Cl|**Describe the bug** Please refer to this issue： https://github.com/jenkinsci/az
#44785|closed|bug, customer-reported, Docs, Cognitive - Bing, issue-addres|KakashiApi|### Type of issue  Typo  ### Description    [Escriba sus comentarios aquí]   ###
#44771|closed|bug, customer-reported, azure-spring, azure-spring-jca|[BUG] KeyVault JCA Provider ignores JVM truststore sys props|**Describe the bug** The JCA KeyStore SPI for Azure KeyVault ignores custom trus
#44717|closed|bug, Service Bus, Client, customer-reported, needs-team-atte|[BUG] Trace Context Not Propagating with Azure Service Bus Binder Using Micromet|I’m using Spring Cloud Stream with the Azure Service Bus binder, Micrometer Trac
#44688|open|bug, Service Bus, Client, customer-reported, needs-team-atte|[BUG] Servicebus-Java ''Timeout on blocking read' when sending messages'|We are migration from the old servicebus sdk to the new one and after the first 
#44671|closed|bug, customer-reported, needs-team-attention, Monitor - Auto|[BUG] Adding Otel and Azure Monitor Exporter leads to an Exception when run in P|**Describe the bug** When following this article https://learn.microsoft.com/en-
#44659|closed|bug, KeyVault, Client, customer-reported, needs-team-attenti|[BUG] SANS DNS names not parsed from Azure Key Vault get certificate policy resp|Please reconsider answering/investigating #34014   Thank you!
#44529|open|bug, customer-reported, needs-team-attention, Maps|[BUG] MapsSearchClient.getReverseGeocoding() always returns null for MapsSearchA|**Describe the bug** When requesting an address via the method `getReverseGeocod
#44519|open|bug, Client, Azure.Core, Azure.Identity, needs-team-attentio|AzurePipelinesCredential does async over sync (over async) causing problems in A|AMQP has a specific threading model and gets token on a thread that can't be blo
#44508|open|bug, KeyVault, customer-reported, needs-team-attention, azur|[BUG] KeyVaultClient.getAccessToken() may generate NullPointerException|**Describe the bug** The private getAccessToken() method of the KeyVaultClient c
#44453|closed|bug, customer-reported, Azure.Identity, Docs|UUF - azure-dev-docs-pr - Troubleshoot Azure-hosted application authentication|Customer feedback from Unified User Feedback (UUF) tool:  Repo: azure-dev-docs-p
#44291|closed|bug, customer-reported, Cognitive - Bing|bing api|### Type of issue  Typo  ### Description    [Enter feedback here]   ### Page URL
#44278|closed|bug, Event Hubs, Client, customer-reported, needs-team-atten|[BUG] EventHub Consumer stops consuming messages in a high-traffic network until|**Describe the bug** EHub consumer stops consuming messages. This happens gradua
#44267|open|bug, KeyVault, customer-reported, needs-team-attention, azur|[BUG] jarsigner + jca still reports that entries in certificate chain are invali|**Describe the bug** When using a valid, DigiCert issued, non-exportable Azure K
#44182|closed|bug, Client, customer-reported, needs-team-attention, azure-|[BUG]Signer information SecurityException when building executable with gradle n|**Describe the bug** The generation of native image works with paketo build but 
