Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#33415|closed|SQL, Mgmt, customer-reported, bug, needs-team-attention|[BUG] SqlDatabaseResource GetMetricDefinitions fails with "Invalid URI: The form|### Library name and version  Azure.ResourceManager.Sql 1.1.0  ### Describe the 
#33353|closed|Mgmt, customer-reported, bug, needs-team-attention, Containe|[BUG] Resource tags updates always fail in AppContainers SDK|### Library name and version  Azure.ResourceManager.AppContainers 1.0.1  ### Des
#33314|closed|Service Attention, Mgmt, needs-author-feedback, customer-rep|[BUG] `CustomDomainConfiguration.ExpireOn` in `ContainerAppManagedEnvironmentDat|### Library name and version  Azure.ResourceManager.AppContainers 1.0.1  ### Des
#33170|closed|SQL, Service Attention, Mgmt, customer-reported, bug|Cannot update Data Transparent Data Encryption State|### Library name and version  Azure.ResourceManager.Sql 1.1.0  ### Describe 
#33131|closed|Client, customer-reported, bug, Extensions, issue-addressed|[BUG] Clients registered with `AddAzureClients` are not disposed|### Library name and version  Microsoft.Extensions.Azure 1.6.0  ### Describe the
#33049|closed|Storage, Client, bug, pillar-performance|[Storage] [DataMovement] Remove unnecessary synchronization primitives (e.g. int|### Library name and version  Azure.Storage.DataMovement; Azure.Storage.DataMo
#33018|closed|Storage, Client, bug|[DataMovement] [Blobs] Small chunks, completed state does not set.|### Library name and version  Azure.Storage.DataMovement; Azure.Storage.DataMove
#32952|closed|Storage, Client, bug, test-reliability|[bug] [storage] [datamovement] [tests] Renable GetChildStorageResourceAsync for |### Library name and version  Azure.Storage.DataMovement; Azure.Storage.DataMove
#32924|closed|Storage, Client, bug, blocking-release|[Storage] [DataMovement] [Blobs] Rename encodedPath to path|### Library name and version  Azure.Storage.DataMovement; Azure.Storage.DataMove
#32872|closed|KeyVault, Mgmt, customer-reported, bug, needs-team-attention|[BUG] CreateOrUpdate on VaultResource deletes all AccessPolicies|### Library name and version  Azure.ResourceManager.KeyVault 1.0.0  ### Desc
#32846|closed|Storage, Service Attention, Client, customer-reported, bug|[BUG] `QueueMessage` output binding ignores `ExpirationTime`|### Library name and version  Microsoft.Azure.WebJobs.Extensions.Storage.Queue
#32804|closed|Cosmos, Mgmt, customer-reported, bug, needs-team-attention|[BUG] Deserialising GetCosmosDBAccountAsync throws UriFormatException|### Library name and version  Azure.Resourcemanager.CosmosDb 1.2.0  ### Describe
