Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#30528|closed|bug, Client, App Configuration|[AppConfig] Inconsistent description in docstring with code|This is a bug found in [this](https://github.com/Azure/azure-sdk-for-python/pull
#30518|closed|bug, Machine Learning, Service Attention, Client, customer-r|[Azure ML SDK v2 - AzureML fsspec] loading parquet file using azureml-fsspec res|- **azureml-fsspe**:  - **1.0.0**:  - **Ubuntu**: - **3.9 and 3.10**:   **D
#30452|closed|bug, Docs, customer-reported, needs-team-attention|Bug in python_snippert_updater.py|When generating code snippet first time, a blank line will be inserted between `
#30382|closed|bug, KeyVault, Client|[Key Vault] "No content provided" error when calling `KeyVaultSettingsClient.upd|**Behavior:** If a new KeyVaultSettingsClient is created and tries to call the `
#30361|closed|bug, Docs, HDInsight, Service Attention, customer-reported|clusters_paged.advance_page():AttributeError: 'ItemPaged' object has no attribut|The example provided in the document is throwing an error "Object has no attribu
#30287|closed|bug, Compute, Mgmt, customer-reported, no-recent-activity|Disk Encryption issue using Customer managed key|- **Package Name**: Azure SDK for Python - **Package Version**: Latest - **Ope
#30261|closed|bug, Client, customer-reported, Tables, needs-team-attention|Inconsistency on default int type.|This page states that the INT64 type is required which implies a Python `int` wo
#30161|closed|bug, Service Attention, customer-reported, Functions, Servic|A 404 from raise event is inaccurately described as instance not found|The python implementation has a hardcoded error message for a 404 on context.rai
#30092|closed|bug, Machine Learning, Service Attention, Client, customer-r|Wrong type hint for function make_link in azure.ai.ml._utils._html_utils.py |- **Package Name**:  azure.ai.ml - **Package Version**: 1.5.0 - **Operating Sy
