Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#44624|closed|bug, question, customer-reported, needs-triage, Evaluation|Foundry Telemetry Gap - Tool execution and final output not captured in tracing |- **Package Name**: N/A (using Foundry UI) - **Package Version**:  - **Operating
#44492|closed|bug, question, Service Attention, Client, customer-reported|Agent Observability: No Span for Agent Invocation and unclear span naming|- **Package Name**: azure-ai-projects - **Package Version**: 2.0.0b2 - **Operati
#44480|open|bug, question, Service Attention, customer-reported, needs-t|Azure AI Evaluation: Unable to track tool call and tool call accuracy for Azure |**Describe the bug** I created an agent in Foundry with Azure AI Search as tool 
#44479|closed|bug, question, Service Attention, customer-reported, needs-t|Observability: Workflow traceability between executors and LLM calls|- **Package Name**: azure-ai-projects - **Package Version**: 2.0.0b2 - **Operati
#44207|closed|bug, Service Attention, customer-reported, issue-addressed, |Browser Automation Tool Doesn't work with azure-ai-projects==2.0.0b2|- **Package Name**: azure-ai-projects - **Package Version**: 2.0.0b2 - **Operati
#43842|closed|bug, Service Attention, Client, customer-reported, needs-tea|QAEvaluator does not pass through is_reasoning_model|I was trying to use the QAEvaluator w/ a reasoning model w/ the `is_reasoning_mo
#43625|closed|bug, customer-reported, Azure.Core, issue-addressed|azure-mgmt-resourcegraph==8.0.0 fails with azure-core 1.36.0|- **Package Name**: azure-mgmt-resourcegraph - **Package Version**: 8.0.0 - **Op
#43234|open|bug, Machine Learning, Service Attention, customer-reported,|Custom data preprocessor component for Monitoring - Azure ML Python SDK v2 and E|Hello guys, I am working on creating a Monitoring using Azure ML mainly for chec
#43082|open|bug, customer-reported, CodeGen, needs-team-attention|generated_samples and generated_tests directories shouldn't install into site-pa|Recently updated components of the Azure SDK for Python such as `azure-mgmt-comp
#43039|open|bug, Machine Learning, Service Attention, customer-reported,|queue settings is ignored when deploying pipeline behind batch endpoint|- **Package Name**: azure-ai-ml - **Package Version**: 1.29.0 - **Operating Syst
#42943|closed|bug, EngSys|[eng][bug] dev_setup.py doesn't work in Windows OS|When I try to run `python scripts/dev_setup.py -p azure-core` under root folder 
#42367|closed|bug, Service Attention, customer-reported, no-recent-activit|azure-monitor-opentelemetry v1.6.13 sends dozens of http requests per second|- **Package Name**: azure-monitor-opentelemetry - **Package Version**: 1.6.13 - 
#42281|closed|bug, Machine Learning, Service Attention, Client, customer-r|Code object documentation error|- **Package Name**:   `azure-ai-ml`  - **Package Version**: 1.21.0 - **Operating
#42097|closed|bug, Service Attention, customer-reported, needs-team-attent|KeyError: 'logging_formatter' when adding Log Handler|- **azure-monitor-opentelemetry**:  - **1.6.11**:  - **Databricks runtime 16.4 L
#42093|open|bug, Service Attention, customer-reported, needs-team-attent|azure-ai-translation-text: TextTranslationClient mangles audience string|- **Package Name**:  azure-ai-translation-text - **Package Version**: 1.0.1 - **
#42045|closed|bug, customer-reported, Azure.Identity, needs-team-attention|Bug: Missing kwargs in get_cached_refresh_tokens causes empty cache with enable_|- **Package Name**: azure-identity - **Package Version**: 1.23.0, 1.23.1 - **Ope
#41985|closed|bug, Service Attention, Client, no-recent-activity, needs-au|[evaluation] some metrics returned as NaN|- **Package Name**:  azure-ai-evaluation - **Package Version**: 1.8.0 - **Operat
#41969|closed|bug, Service Attention, customer-reported, needs-team-attent|Document Intelligence Studio (build ~2025-07-08) writes `.labels.json` / `.ocr.j|#### Environment    / Item / Value / /------/-------/ / Studio build / 2025-07-0
#41960|closed|bug, Service Attention, customer-reported, issue-addressed, |datasets.get() returns DatasetVersion with incorrect blob reference since name o|- **Package Name**: azure-ai-projects - **Package Version**: azure-ai-projects==
#41878|closed|bug, Machine Learning, issue-addressed|AML CLI v2 wheels on latest Azure CLI don't work|AML CLI v2 wheels on latest Azure CLI are currently encountering the following e
#41825|open|bug, question, ARM, Service Attention, Mgmt|Response bodies missing when using `--verbose --debug`|### Describe the bug  We often use `--verbose --debug` flags to troubleshoot RP 
#41793|open|bug, Docs, Service Attention, customer-reported, needs-team-|Missing information about everything|### Type of issue  Missing information  ### Description   I don't know how to us
#41743|closed|bug, Service Attention, Client, Evaluation|[evaluation] library logs info message on import|- **Package Name**:  azure-ai-evaluation - **Package Version**:  1.8.0 - **Opera
#41543|closed|bug, Service Attention, Client, Evaluation|[evaluation] sample for tool_call_accuracy raises exception|Package Name: azure-ai-evaluation Version: 1.8.0 Operating System: WSL Python Ve
#41535|closed|bug, Monitor, Service Attention, Client, customer-reported|[Bug] OpenTelemetry _load_runtime_context() returning an error and resulting in |- **Package Name**:  azure-monitor-opentelemetry - **Package Version**: 1.6.10 -
#41418|open|bug, customer-reported, needs-team-attention, AI Agents|Azure AI Agents EventHandler / Duplicated events emitted|- **Package Name**:  azure-ai-agents - **Package Version**: 1.1.0b1 - **Operatin
