Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#18434|closed|bug, Client, customer-reported, azure-spring, azure-spring-e|[BUG] spring-cloud-azure-eventhubs-stream-binder:1.2.8 leads to NoSuchMethodErro|Copied from https://github.com/microsoft/spring-cloud-azure/issues/761 @ulrichwi
#18165|closed|bug, Service Bus, Client, Docs|[Service Bus] Reference doc nodes nesting can be improved|This is the [Service level overview for Java API reference docs for Service Bus]
#18156|closed|bug, Client, Azure.Core|Sanitize Environment Non-Proxy Hosts Before Use|When using `http.nonProxyHosts` or `NO_PROXY` environment configurations we need
#18139|closed|bug, Docs, Central-EngSys|[BUG] Links in Table of Contents for Event Hubs in reference docs dont work|Try clicking on any of the links in the[ Table of Contents for Event Hubs](https
#18014|closed|bug, Event Hubs, Client, needs-author-feedback, no-recent-ac|[QUERY] Application took 15 minutes to update checkpoint|**Describe the bug**  Receive event: "12/7/2020, 6:21:43.610" Finish processi
#17902|closed|bug, Storage, Client, customer-reported|[BUG] Azure Storage Blob SDK generates bad signature when using generateSas |**Describe the bug** The SAS token results in the following issue: ``` <Error
#17810|closed|bug, Event Hubs, Client|[BUG] EventHub Error occurred while refreshing token that is not retriable. Not |**Describe the bug** Seems that there are issues in the refersh of token into t
#17617|closed|bug, Client, customer-reported, azure-spring, azure-spring-k|[BUG] Azure Keyvault Starter for Spring Boot no longer works with 2.4|**Describe the bug** When using Spring Boot 2.4 and Azure Keyvault Starter to g
#17554|closed|bug, Cosmos, Client, customer-reported, needs-author-feedbac|[BUG] count is not returning data, instead failing with casting errors|**Describe the bug** We have a java sprint boot application in which we use **2
#17071|closed|bug, Service Bus, Client|[Service Bus] Error when user settles message with autocomplete feature turned o|If the Service Bus receiver client/processor is instantiated with autocomplete e
#17047|closed|bug, Cosmos, Client, customer-reported, azure-spring-cosmos|[BUG] In azure-spring-data-cosmos 3.1.0, java.time.Instant cannot be serialized |**Describe the bug** By default, Java Instant objects are serialized into the d
#17010|closed|bug, Cosmos, Client, customer-reported, cosmos:v4-item|Cosmos Java SDK 4.8.0 - Issue with continuation token when there are no results|Continuation token gets return as  **x-ms-continuation -> {"limit":1,"sourceTok
#16965|closed|bug, customer-reported, blocking-customer-adoption, azure-sp|[QUERY] artifactid missing in Maven Central Repo for group id com.azure.spring|**Query/Question** In sample azure-sdk-for-java/sdk/spring/azure-spring-boot-sa
#16930|closed|question, bug, Storage, Client, customer-reported|Azure Datalake Gen2 Java SDK FileClient sometimes show file size as over 1TB (ac|We have an application that constantly write to datalake. At a given time, we wo
#16923|closed|bug, Service Bus, Service Attention, Client, Track 1|MSI Token provider does not work from AppServices -works from VMs.|The current SDK 3.4, does not include [ManagedServiceIdentityTokenProvider](http
#16762|closed|bug, Compute - VM, Service Attention, Mgmt, customer-reporte|[BUG] "Max price change not allowed" error when changing vm tag. |**Describe the bug** I have been using this sdk to manage my vms juts fine unti
#16633|closed|bug, Storage, Client, customer-reported, needs-author-feedba|[BUG] If I try to list blobs I get PrematureCloseException |**Describe the bug** If I upload and try to call the `listBlobs` from the `Blob
#16632|closed|bug, KeyVault, Client, customer-reported, Track 1|KeyProperties created without curve propery|    /**      * Elliptic curve name. For valid values, see JsonWebKeyCurveName. 
#16605|closed|bug, Client, Azure.Core|Ensure Response Body is Released on Request Retry|When a request is retried by the `RetryPolicy` the response body is never consum
#16595|closed|bug, Client, customer-reported, azure-spring, azure-spring-s|Default subscription id from configuration is ignored|Following the example in https://docs.microsoft.com/en-us/azure/developer/java/s
#16453|closed|bug, Storage, customer-reported|[BUG] Queue - updateMessage - NullPointerException in the absence of Duration|**Describe the bug** `updateMessage `throwing NullPointerException in the absen
#16386|closed|bug, Client, customer-reported, Tables|[BUG] Azure Table - New SDK - createEntityWithResponse throws NullPointerExcepti|**Describe the bug** `createEntityWithResponse(entity, null, null)` throwing Nu
#16292|closed|bug, Client, customer-reported, Tables|[BUG] Exception "'Timestamp' must be an OffsetDateTime" when listing Table entit|When listing entities of an Azure Storage Table, I receive the exception:  ```
#16112|closed|bug, Cosmos, Client|[BUG] Fix length for unicode and fix intermediate serialization to String|Consider correct length if the string contains unicode as byte encoding length w
#16009|closed|bug, Client, azure-spring, azure-spring-aad|[BUG] Instructions for running spring boot sample result in compilation error|**Describe the bug** Following the instructions here: https://github.com/Azure/
#15889|closed|question, bug, Service Bus, Client, customer-reported|[BUG] Cannot create subscription on topic using azure-message-servicebus and azu|**Describe the bug**   1. When trying to create a subscription from my local 
#15857|closed|bug, Event Hubs, Client, customer-reported, pillar-reliabili|Getting AMQP errors (broken pipe, framing-error) while listening to event hub - |I am getting AMQP errors (broken pipe, framing-error) while listening to event h
#15827|closed|bug, Storage, Client, customer-reported|[BUG] Creating a BlobClientBuilder from an endpoint-url fails if the url has a p|**Description** Creating an BlobClient from an non-ip authority with a port is 
#15774|closed|bug, Client, customer-reported, Azure.Identity|[BUG] com.azure.identity.ClientSecretCredential: Azure Identity => ERROR in getT|**Describe the bug** Getting an exception while trying to fetch the Keyvault se
#15575|closed|bug, Client, Azure.Core|[BUG] BlobContainerClient.listBlobs follows continuation token in background wit|**Describe the bug** BlobContainerClient.listBlobs follows continuation token i
#15294|closed|bug, Client, customer-reported, Tables|[Tables] [BUG] azure-data-tables Can Not Create TableClientBuilder|azure-data-tables    12.0.0-beta.1  The access modifier on the constructor for
#15291|closed|bug, Cosmos, Client, customer-reported|[BUG] spring-data-cosmos wont allow null partition Id on initial save but will a|**Describe the bug** If I have an entity with a partition key defined, and the 
#15171|closed|bug, Storage, Client, customer-reported, Docs|[BUG] Exception is thrown when uploading file to ADLS Gen 2 account|**Describe the bug** This is a bug found by our customer. Sample code in Micro
#15097|closed|question, bug, Compute, Mgmt, customer-reported|[BUG] getByResourceGroup throws an NPE when the resource is a Gallery, GalleryIm|**Describe the bug** getByResourceGroup throws an NPE when the resource is a Ga
#15034|closed|bug, Service Bus, Client, customer-reported|[BUG] - ServiceBus - Exception throw when calling peek on empty queue|Calling `peekMessages` on an empty queue results in an exception. Expected behav
#14975|closed|bug, Client, customer-reported, Azure.Identity, blocking-rel|[QUERY] DefaultAzureCredentialBuilder authenticate mechanism order question|**Query/Question** Hello,  I'm using the DefaultAzureCredentialBuilder to auth
#14907|closed|question, bug, customer-reported, pillar-reliability|[BUG] azure-identity specifies a variable version range for net.minidev:json-sma|**Describe the bug** The `azure-identity `package has a transitive dependency o
#14903|closed|bug, Service Bus, customer-reported, pillar-reliability|ServiceBus - Management client NPE on queue description|Queue created in ServiceBus via the portal.  Call to managementClient.getQueue
#14862|closed|question, bug, Cosmos, Client, customer-reported|CosmosDB SqlParameter does not implement equals|**Query/Question** Is there a reason that the SqlParameter does not implement e
#14722|closed|bug, ARM, Mgmt, customer-reported, Track 1|NPE during serialization of tags map of resource object |**Describe the bug** A clear and concise description of what the bug is.  ***
#14686|closed|bug, Client, customer-reported, azure-spring, azure-spring-s|[BUG] Sample ServiceBusQueueMultiBindersApplication in wrong directory|**Describe the bug** Not sure how `azure-spring-cloud-servicebus-queue-multibin
#14675|closed|question, bug, Cosmos, Client, customer-reported|Cosmos SDK v4 - Pagination based on continuation token|We have a requirement for clients to get results in paginated way. Pagination wa
#14513|closed|bug, KeyVault, Client, customer-reported, pillar-reliability|[BUG] KeyVault KeyProperties.getTags returns null|**Describe the bug**  Calling `getTags()` on a `KeyProperties` object sometime
#14480|closed|bug, Compute, Mgmt, customer-reported, issue-addressed|[BUG] Cannot install extension on VM|**Describe the bug** I'm trying to install a CustomScript extension using the s
#14439|closed|bug, Client, Azure.Core, common|Calling stream on PagedIterable Doesn't Invoke Service Call|Using `PagedIterable`'s `stream` method doesn't trigger service calls to be made
#14218|closed|question, bug, Client, customer-reported, Azure.Identity|[BUG] Azure Identity (DefaultAzureCredential)|**Describe the bug** The DefaultAzureCredential will not go over the pre-config
#14200|closed|bug, Cosmos, Client, azure-cosmos-diagnostics-improvements|Replica information missing in GoneException|**Describe the bug** Below shows null in resourceAddress and requesUri .  It sh
