Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#37645|open|bug, Storage, Service Attention, Client, customer-reported|DataLakeServiceClient when used, with ClientCredentials, trough PrivateLink, get|- **Package Name**: azure-storage-file-datalake,azure-identity - **Package Vers
#37600|closed|bug, Machine Learning, Client, issue-addressed|typing.Annotated used in invalid context and raises error on python 3.13|Python 3.13 will be released in early October. We tested libraries against the f
#37539|closed|bug, breaking-changes-tool|[breaking change detector] duplicated report item in changelog|For https://github.com/Azure/azure-sdk-for-python/pull/37516/commits/bdd03c374c8
#37513|closed|bug, breaking-changes-tool|[breaking change detector] fake breaking report|For https://github.com/Azure/azure-sdk-for-python/pull/37101/files#diff-305c23c9
#37496|open|bug, Machine Learning, Service Attention, Client, customer-r|api_key is optional, but marked as required|### Type of issue  Typo  ### Description   api_key is optional, but marked as r
#37493|closed|bug, Cognitive Services, Service Attention, Client, customer|face api|### Type of issue  Typo  ### Description    [Enter feedback here]   ### Page 
#37405|closed|bug|[release-helper] crash when default assignee is null|https://dev.azure.com/azure-sdk/internal/_build/results?buildId=4137269&view=log
#37307|closed|bug, breaking-changes-tool|[breaking change detector] fail to generate changelog for data-plane SDK `azure-|When  try to generate changelog for `azure-ai-vision-face` https://github.com/az
#37230|open|bug, Cosmos, Service Attention, Client, needs-team-attention|Incorrect continuationToken returned from orderBy query|**Issue:** For orderBy query, when using the following code snippet, not all re
#37225|closed|bug, breaking-changes-tool|[breaking change tool] crash when generate changelog|When generate changelog for https://github.com/azure-sdk/azure-sdk-for-python/pu
#37089|open|bug, Machine Learning, Service Attention, Client, needs-team|AzureMachineLearningFileSystem does not work with user Entra authentication|- **Package Name**: azureml-fsspec - **Package Version**: 1.3.1 - **Operating 
#37076|closed|bug, Docs, Container Registry, Mgmt, customer-reported|Typo on Bash code snippet|Under the "Create a resource group and Azure Container Registry" sub heading in 
#36973|closed|bug, breaking-changes-tool|[breaking change detector][bug] duplicated item in changelog|For https://github.com/Azure/azure-sdk-for-python/pull/36924/files#diff-19000e42
#36958|open|bug, KeyVault, Client, needs-team-attention|[Feature Req] Improve error message when certificate configuration is incorrect.|When there's an incorrect configuration for a certificate in OneCert, the KeyVau
#36940|closed|bug, Docs, Client, customer-reported, Tables|Typo in documentation for TableClient class|### Type of issue  Typo  ### Description  There is a typo in the example section
#36907|open|bug, Service Attention, Client, customer-reported, Synapse|Raise an Error when successfully start synapse pipeline using create_pipeline_ru|- **Package Name**: azure.synapse.artifacts - **Package Version**: 0.19.0 - **
#36762|closed|bug, Service Attention, Client, customer-reported, Monitor -|Wrong imports in documentation of "Microsoft OpenTelemetry exporter for Azure Mo|In the Documentation of Microsoft OpenTelemetry-Exporter für Azure Monitor   h
#36674|closed|bug, Machine Learning, Service Attention, Client, test-relia|Machine Learning Sample Issue|1. Section [link1](https://github.com/Azure/azure-sdk-for-python/blob/main/sdk/
#36631|open|bug, Machine Learning, Service Attention, Client, customer-r|Getting error when using path_on_compute in Input |- **Package Name**:   Azure.ai.ml - **Package Version**:  - **Operating System
#36416|closed|bug, SQL, Service Attention, Mgmt, needs-team-attention|ImportError: cannot import name 'build_import_method_request'|- **Package Name**: azure-mgmt-sql - **Package Version**: 4.0.0b17 - **Operati
#36379|closed|bug, Storage, Service Attention, Client, customer-reported|"Incorrect padding" while attempting to check if blob exists|- **Package Name**: `azure-storage-blob` - **Package Version**: 12.20.0 - **Op
