Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#38998|closed|Monitor, Client, bug|[Azure.Monitor.Ingestion] Update AuthorizationScope|Priority: high  The AuthorizationScope in Ingestion currently defaults to the 
#38639|open|Storage, Client, bug, feature-request, pillar-performance|[DataMovement] Remove the need to double stream and passing around a Steam in Ch|Instead of making the stream and copying between streams, it may be better to ju
#38637|closed|Storage, Client, bug|[DataMovement] [Blobs] Remove need for Job Plan Internal Shared in DataMovement |Remove cross compiling shared checkpointer stuff in DataMovement Blobs Remove Da
#38567|closed|Storage, Client, bug, test-reliability|[Storage] `DataLakePathClient` APIs are not creating scopes when being called di|Currently our `DataLakePathClient` tests are being tested through calling it's d
#38548|closed|App Services, Mgmt, customer-reported, bug, needs-team-atten|[BUG] GetSiteInstances throws Invalid URI: The format of the URI could not be de|### Library name and version  Azure.ResourceManager.AppService 1.1.0-beta.2  ###
#38524|closed|Client, App Configuration, customer-reported, bug, needs-tea|[BUG] `GetConfigurationSettings(SettingSelector)` does not set the `ContentType`|### Library name and version  Azure.Data.AppConfiguration 1.2.0  ### Describe th
#38326|closed|Storage, Client, bug, test-reliability|[Storage] [WebJobsExtension] Renable BlobScaleHostEndToEndTest|Renable BlobScaleHostEndToEndTestafter the release of 5.2.0  This test is for 
#38219|closed|Client, Azure.Core, customer-reported, bug, ARM - Core|[BUG] ObjectDisposedException when calling GetConfigurationSettingAsync / SetCon|### Library name and version  Azure.Data.AppConfiguration 1.3.0-beta.2  ### 
#38168|closed|Service Attention, Client, customer-reported, bug, needs-tea|Name not being set in ChatMessage for Function Call results|### Library name and version  Azure.AI.OpenAI  ### Describe the bug  In the Read
#38145|closed|Storage, Client, bug|[Storage] [WebJobs] Remove pointing to released version of Microsoft.Azure.WebJo|Remove pointing to the released version of the Microsoft.Azure.WebJobs.Extension
#38100|closed|Service Attention, Client, customer-reported, bug, needs-tea|[BUG] Azure Maps Pushpin Color not interpreted correctly|### Library name and version  Azure.Maps.Rendering 1.0.0-beta.2  ### Describ
#38098|closed|Client, App Configuration, customer-reported, bug, issue-add|[BUG] AppConfig: Cannot set ETag when constructing FeatureFlagConfigurationSetti|### Library name and version  Azure.Data.AppConfiguration 1.1.0-beta.2  ### Desc
#38036|closed|Storage, Client, bug, test-reliability|[DataMovement] [Tests] SupportsLongFiles is flakey in CI|The test `SupportsLongFiles` is flakey. It flakes when you run CI and I've also 
#37880|closed|Storage, Service Attention, Client, customer-reported, bug|[QUERY] BlobContainerClient throws AggregateException when all retries exhaust|### Library name and version  Azure.Storage.Blobs 12.17.0  ### Query/Questio
#37475|closed|Monitor, Client, bug|[BUG] Support complex types in Azure Monitor Query results|### Library name and version  Azure.Monitor.Query  ### Describe the bug  Azure M
#37468|closed|Storage, Service Attention, Client, customer-reported, bug|Azure Storage Connection String Parsing doesn't parse format exported by Storage|### Which service(blob, file, queue, table) does this issue concern? Blob  ##
#37420|closed|KeyVault, Service Attention, customer-reported, bug, Service|[BUG] Requests to Key Vaults are timing out after considerable time|### Library name and version  Azure.Security.KeyVault.Keys 4.5.0  ### Describe t
#37253|closed|Storage, Client, bug|[Storage][DataMovement] Exception in certain LocalTransferCheckpointer methods c|If there is an exception when operating on the job part plan files in `LocalTran
#37170|closed|Storage, Client, bug|[DataMovement] [Storage] Remove StorageResourceType|Unused and also it might be more preferable to use a string instead when wanting
#36491|closed|Storage, Client, bug, test-reliability|[DataMovement] DataTransfer.HasCompleted will return false but the TransferStatu|There is some test flakeyness where the `DataTransfer.HasCompleted` will return 
#36360|closed|ARM, Mgmt, customer-reported, bug, needs-team-attention|[BUG] WaitForCompletionAsync on TriggerRestoreAsync throws a FormatException.|### Library name and version  Azure.ResourceManager.DataProtectionBackup 1.1.2  
#36306|closed|Storage, Client, bug|[Blobs] [DataMovement] [Tests] End to End Blob Extension methods Upload and Down|There's a test gap in regards to end to end testing for `UploadDirectory` and `D
#36120|closed|Notification Hub, Service Attention, Mgmt, customer-reported|[BUG] Application mode is not set when updating APNs credentials on an Azure not|### Library name and version  Azure.ResourceManager.NotificationHubs 1.0.1  ### 
#36104|closed|Cosmos, Mgmt, customer-reported, bug, needs-team-attention|[BUG] Deserializing CosmosDBAccountData throws a System.Uri.FormatException|### Library name and version  Azure.ResourceManager.CosmosDB 1.3.0  ### Describe
#36019|closed|Service Attention, Client, customer-reported, bug, needs-tea|[QUERY] A connection attempt failed because the connected party did not properly|### Library name and version  Azure.MixedReality.RemoteRendering 1.1.0  ### Quer
#35972|closed|Storage, Client, bug|[DataMovement] [Storage] Add empty path check on LocalDirectoryStorageResourceCo|Add a check on LocalDirectoryStorageResourceContainer constructor to ensure that
#35949|closed|ARM, Mgmt, customer-reported, bug, question|PolicyAssignmentData does not contain properties from the latest service version|### Library name and version  Azure.ResourceManager.Resources 2022-06-01  ### De
#35890|closed|Authorization, Mgmt, needs-author-feedback, customer-reporte|[BUG] Unable to call GetRoleAssignments in Mooncake|### Library name and version  1.0.1  ### Describe the bug  Lib：Azure.ResourceMan
#35844|closed|Client, customer-reported, bug, needs-team-attention, Monito|[BUG] Custom Attributes on Metrics sent from Open Telemetry not appearing in App|### Library name and version  Azure.Monitor.OpenTelemetry.Exporter 1.0.0-beta.10
#35701|closed|Storage, Client, bug|[Storage] [DataMovement] Have a check between CreateMode on Resume and the saved|In pause and resume, we don't compare the options passed from the user to the sa
#35585|closed|Recovery Services Backup, Mgmt, customer-reported, bug, issu|[BUG] Azure.ResourceManager.RecoveryServicesBackup |### Library name and version  Azure.ResourceManager.RecoveryServicesBackup  ### 
#35583|closed|Storage, Mgmt, needs-author-feedback, customer-reported, bug|[BUG] Invalid resource type Microsoft.Storage/storageAccounts/blobServices/conta|### Library name and version  Azure.ResourceManager.Storage 1.1.1  ### Describe 
#35557|open|Storage, Client, bug, feature-request|[Storage] [DataMovement] Look into updating exception by detecting based on Exce|### Library name and version  Azure.Storage.DataMovement; Azure.Storage.DataMove
#35553|closed|Storage, Client, bug|[DataMovement] [Blobs] Properly link error code from BlobErrorCodes to DM Blobs|### Library name and version  Azure.Storage.DataMovement; Azure.Storage.DataMove
#35551|closed|Event Hubs, Client, customer-reported, bug, issue-addressed|[FEATURE REQ] Configurable Connection timeout for eventhub|### Library name  Azure.Messaging.EventHubs 5.8.1  ### Please describe the featu
#35475|closed|Client, Azure.Core, customer-reported, bug, needs-team-atten|[BUG] Response<T>.HasValue is inconsistent and returns unexpected results|### Library name and version  Azure.Storage.Queues 12.13.1  ### Describe the
#35439|closed|Storage, Client, bug, blocking-release|[DataMovement] [Storage] Reenable flakey pause tests|### Library name  Azure.Storage.DataMovement; Azure.Storage.DataMovement.Blobs  
#35435|closed|Storage, Client, bug, blocking-release|[storage] [datamovement] Single Download, Single Copy and Directory Pause and Re|### Library name  Azure.Storage.DataMovement; Azure.Storage.DataMovement.Blobs  
#35408|closed|Storage, Client, bug, test-reliability|[Tests] [Storage] [DataMovement] Remove *TestBases and use specific functionalit|### Library name  Azure.Storage.DataMovement; Azure.Storage.DataMovement.Blobs  
#35377|closed|Storage, Service Attention, Client, customer-reported, bug|Regression: AuthenticationFailed instead of InvalidOperationException when setti|Between Azure.Storage.Blobs 12.15.0 and 12.15.1 there was a regression of behavi
#35365|closed|ARM, Mgmt, customer-reported, bug, needs-team-attention|Exception occurs when trying to get all subscription regions with the default Ru|Steps to reproduce:   1. set culture to Russian (ru-RU) using, for example, Th
#35360|closed|Storage, Client, bug, test-reliability|[Storage] [DataMovement] Parameterize tests to reduce line count for JobPartPlan|### Library name and version  Azure.Storage.DataMovement; Azure.Storage.DataMove
#35357|closed|Storage, Client, bug|[Storage] [DataMovement] Consolidate detecting what type of transfer is occurrin|### Library name  Azure.Storage.DataMovement; Azure.Storage.DataMovement.Blobs  
#35356|closed|Storage, Client, bug|[Storage] [DataMovement] Consolidate creating the appendjobpart|### Library name  Azure.Storage.DataMovement; Azure.Storage.DataMovement.Blobs  
#35354|closed|Storage, Client, bug, blocking-release|[Storage] [DataMovement] Pause and Resume Comments need to be updated|As per https://github.com/Azure/azure-sdk-for-net/pull/35160#discussion_r1152261
#35351|closed|Storage, Client, bug, blocking-release|[DataMovement] [Storage] Make JobPartPlanHeader values from long to ushort where|### Library name and version  Azure.Storage.DataMovement; Azure.Storage.DataMove
#35350|closed|Storage, Client, bug, blocking-release|[DataMovement] [Storage] Move JobPlanModels to Models.JobPlan|### Library name  Azure.Storage.DataMovement; Azure.Storage.DataMovement.Blobs  
#35346|closed|Automation, Mgmt, customer-reported, bug, needs-team-attenti|[BUG] ResourceManager.Automation unable to delete node resource|### Library name and version  Azure.ResourceManager.Automation 1.0.1  ### Descri
#35300|closed|Network - Traffic Manager, Mgmt, customer-reported, bug, nee|[BUG] Confusing error message in Azure.ResourceManager.TrafficManager: PATCH vs |### Library name and version  Azure.ResourceManager.TrafficManager 1.0.0  ### De
#35299|closed|Service Attention, Client, customer-reported, bug, needs-tea|Azure.Messaging.WebPubSub.Client 1.0.0-beta.2  : ConnectionId is null|The WebPubSubClient.ConnectionId value is always null, even when the connection 
