Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#13785|closed|bug, Event Hubs, Client, customer-reported, pillar-reliabili|[BUG] EventProcessorClient is running, but no events are received|**Describe the bug** I have a 2 partition event hub setup with a single consume
#13778|closed|bug, Cosmos, Client, customer-reported, cosmos:v4-item|[BUG] Create of of async client fails with assertion error on Cosmos SDK v4|**Describe the bug** Using the Cosmos SDK v4, I attempt to create a client usin
#13763|closed|question, bug, Cosmos, Client, customer-reported|[BUG] cosmos sdk: intermittent leaks detected via netty leak detector|**Describe the bug** A clear and concise description of what the bug is.  We 
#13597|closed|bug, Event Hubs, Client, customer-reported|[BUG] PartitionBasedLoadBalancer.java does sometimes PING-PONG between 2 EventPr|Load balancing does not run always as expected. EventProcessorClients steal with
#13420|closed|bug, Event Hubs, Service Bus, Client, customer-reported|Event Hubs processor fails to get events after a period of time|There are times when fetching events from Event Hubs using EventProcessor, event
#13391|closed|bug, Client, customer-reported, Azure.Identity|[BUG] having trouble connecting to identity client MDS check|**Describe the bug** Trying to run azure-keyvault-secrets-spring-boot-starter, 
#13381|closed|bug, Cosmos, Service Attention, Client, customer-reported|[BUG] java.lang.IllegalStateException: RntbdServiceEndpoint while upserting.|We have a  event hub listener which is picking message, fetching details from DB
#13331|closed|question, bug, Cosmos, Service Attention, Client|[BUG] Need a way to inject partitionKey for CosmosContainer.queryItems method  |**Description** I'm trying to use the method `CosmosContainer.queryItems` to qu
#13329|closed|bug, Cosmos, Service Attention, Client, customer-reported|[BUG] Multiple partition supervisor tasks running simultaneously if leaseAcquire|**Describe the bug** `PartitionControllerImpl.processPartition` discards the ru
#13328|closed|question, bug, Service Bus, Client, customer-reported|[BUG] exception is reported for azure-messaging-servicebus sdk component. ERROR |**Describe the bug** Implementing async subscriber to receive messages, near co
#13203|closed|question, bug, Event Hubs, Client, customer-reported|Exception while adding more eventProcessorClient instances and 2 instances readi| 1) Exception when adding up more consumer instances. 2) Two consumer  with sa
#13088|closed|bug, Event Hubs, Client, customer-reported, needs-author-fee|Azure Event Hub consumer is always creating receiver link to ONE partition (dyna|**Describe the bug** Azure Event Hub consumer is always creating a receiver lin
#13038|closed|bug, Cosmos, Client, cosmos:v4-item|[BUG] azure cosmos readme files are not verified.|```   - ['sdk/cosmos/changelog/README.md', '#3113']   - ['sdk/cosmos/faq/READM
#12910|closed|bug, Cosmos, Service Attention, Client, customer-reported|[BUG] cosmos:v4-item queries with group by clause not returning more than one pa|When passing a query with "group by' clause, the "iterableByPage()" method in "I
#12829|closed|bug, Storage, Client, customer-reported|Regenerate Implementation Layer with Interface Scoping Changes|**Query/Question** how can i solve  java.security.AccessControlException: acce
#12723|closed|bug|Remove Container throughput default value from SDK|https://github.com/microsoft/spring-data-cosmosdb/issues/512
#12722|closed|bug, Client, azure-spring-cosmos|Full content scan in Cosmos DB from Spring|https://github.com/microsoft/spring-data-cosmosdb/issues/511
#12721|closed|bug, Client|IgnoreCase and AllIgnoreCase don't appear to function properly|https://github.com/microsoft/spring-data-cosmosdb/issues/362
#12720|closed|bug, Client|escaping querying with IN clause|https://github.com/microsoft/spring-data-cosmosdb/issues/533
#12275|closed|bug, Client, Azure.Identity, help wanted|[BUG] port 0 is default value in InteractiveBrowserCredentialBuilder|**Describe the bug** The detailed info can be found [here](https://github.com/A
#12273|closed|bug, Client, Azure.Identity|[BUG] InteractiveBrowserCredential will keep running|**Describe the bug** The detailed description could be found [here](https://git
#11814|closed|bug, Client, Azure.Core|[QUERY] PollResponse.getRetryAfter() only used once, is it by design or bug?|**Query/Question** The `PollResponse.getRetryAfter()` appear to be used only on
#11650|closed|bug, Cosmos, Service Attention, Client, customer-reported|java.lang.IllegalStateException: RntbdServiceEndpoint is closed|**Describe the bug** The bug is with the below azure cosmos SDK ``` <dependen
#11404|closed|bug, Storage, Client|[BUG] QueueAsyncClient doesn't work with DAC and Azurite|Refs: ``` <dependency>       <groupId>com.azure</groupId>       <artifactId>
#11381|closed|bug, Service Bus, Client|Session Enabled Entity : lock token expiry is not bubbled back to user   |If an entity enables for session and user try to complete/settle a message after
#11033|closed|bug, KeyVault, Client, customer-reported|[BUG] KeyClient.listPropertiesOfKeyVersions(String) throws a HttpRequestExceptio|**Describe the bug** KeyClient.listPropertiesOfKeyVersions javadoc states it wi
