Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#39947|closed|bug, Mgmt, customer-reported, Functions, no-recent-activity|Not able to create azure net app volume of size 50GiB using azure python functio|- **Package Name**: azure-mgmt-netapp==10.0.0 - **Package Version**: 10.0.0 - **
#39938|closed|bug, Service Attention, Client, customer-reported, needs-tea|AzureChatOpenAI Deployment “o3-mini” Returns 400 Error Due to Unsupported ‘tempe|- **Package Name**: Azure Cognitive Services OpenAI (via AzureChatOpenAI and Azu
#39933|closed|bug, Billing, Mgmt, customer-reported, needs-team-attention|Unable to list billing accounts using the Azure SDK for python|- **Package Name**: azure-mgmt-billing - **Package Version**: 7.0.0 - **Operatin
#39914|closed|bug, Monitor, Service Attention, Client, customer-reported|Setting enable_live_metrics = True and then observing Live metrics on azure app |- **azure.monitor.opentelemetry**:  - **1.6.5**:  - **WSL2 on windows**: - **Pyt
#39907|closed|bug, Docs, customer-reported, Tables, issue-addressed|Typo in Tables Documentation|### Type of issue  Typo  ### Description  Troubleshooting -> General: "errors re
#39849|closed|bug, Service Attention, Client, customer-reported, needs-tea|AzureOpenAI SDK does not reliably use Prompt Caching|- **Package Name**: `openai` - **Package Version**: 1.64.0 - **Operating System*
#39847|closed|bug, Client, customer-reported, issue-addressed, Document In|The output option was not found: Failed to generate the analyze results in the o|- Package Name: azure-ai-documentintelligence - Package Version: 1.0.0b4 - Opera
#39845|open|bug, Storage, Service Attention, Client, customer-reported|Resource warning: Sending a large body directly with raw bytes might lock the ev|The Python SDK for BlobStorage throws the following warning: "Resource warning: 
#39830|closed|bug, Client, issue-addressed, AI, Evaluation|Syntax warnings when using azure-ai-evaluation in Python 3.12|- **Package Name**: azure-ai-evaluation - **Package Version**: 1.0.0b3 - **Opera
#39820|closed|bug, Client, customer-reported, needs-team-attention, AI Pro|Incorrect URL format when retrieving chat completions client|- **Package Name**: azure-ai-projects - **Package Version**: 1.0.0b6 - **Python 
#39816|closed|bug, Service Attention, Client, customer-reported, issue-add|AzureAISearchTool fails with missing_required_parameter - AML connections are re|- **Package Name**: azure-ai-projects - **Package Version**: .0.0b6 - **Operatin
#39813|closed|bug, Service Attention, Client, customer-reported, no-recent|Azure AI Foundry SDK - Evaluation - Failed to upload evaluation run to the cloud|I am running [this tutorial](https://learn.microsoft.com/en-us/azure/ai-studio/t
#39807|closed|bug, Network, Mgmt, customer-reported, needs-team-attention|Data Deserialization Error When Polling Backend Health for Load Balancing Rules|- **Package Name**: azure-mgmt-network  - **Package Version**:  28.1.0 - **Opera
#39793|closed|bug, Machine Learning, Service Attention, Client, customer-r|`AzureMLOnBehalfOfCredential` does not work with keyvault|- **Package Name**: azure-ai-ml - **Package Version**: 1.25.0 - **Operating Syst
#39782|closed|bug, Docs, Service Attention, customer-reported, needs-team-|Prerequisite lists "Contributor" role but "Azure AI Developer" role needed|### Type of issue  Missing information  ### Description  We have terraformed our
#39753|closed|bug, Service Attention, Client, AI, AI Projects|Agents tracing: we don't suppress generic spans|- **Package Name**:  azure-ai-projects - **Package Version**:  1.0.0b5  When we 
#39744|closed|bug, Machine Learning, Service Attention, Client, customer-r|AttributeError: 'ComputeRecurrenceSchedule' object has no attribute '_to_rest_co|- **Package Name**: azure-ai-ml  - **Package Version**: 1.25.0 - **Operating Sys
#39689|closed|bug, Service Attention, Client, customer-reported, issue-add|azure.ai.evaluation.evaluate returning invalid json for groundedness_pro evaluat|- **Package Name**:  azure-ai-evaluation                      1.2.0  - **Package
#39683|closed|bug, Service Attention, customer-reported, needs-team-attent|WordBoundary events not firing reliably [sometimes not triggered at all]|- **Package Name**:  azure-cognitiveservices-speech - **Package Version**: 1.41.
#39565|closed|bug, Service Attention, Client, customer-reported, needs-tea|Issue streaming Chinese characters using azure-ai-inference SDK|### Type of issue  Code doesn't work  ### Description  Azure AI foundry SDK cann
#39549|closed|bug, Machine Learning, Service Attention, Client, customer-r|Trial_timeout not working properly for hyperparameter sweep in pipeline|- **Package Name**: azure-ai-ml - **Package Version**: 1.24.0 - **Operating Syst
#39529|closed|bug, Service Attention, Client, customer-reported, needs-tea|Azure AI Projects Python: Unable to configure agent with more than one OpenApiTo|- **Package Name**:  azure-ai-projects                         - **Package Versi
#39509|closed|bug, Service Attention, Client, customer-reported, needs-tea|Meta Models Error with Tooling Chat History|- **Package Name**: azure-ai-inference - **Package Version**: 1.0.0b7 - **Operat
#39502|closed|bug, Machine Learning, Service Attention, Client, customer-r|Error when sharing environment from workspace to registry|- **Package Name**: `azure-ai-ml` - **Package Version**: `1.23.0` - **Operating 
#39460|closed|bug, Network, Mgmt, customer-reported, issue-addressed|azure-mgmt-network >=28.0.0: unittest.mock.Mock(NetworkManagementClient) object |- **azure-mgmt-network**:  - **>=28.0.0**:  - **MacOS 15.2**: - **3.12.8**:   **
#39387|closed|bug, Cognitive Services, Mgmt, customer-reported, needs-team|cognitiveservices model for property is marked as read-only blocking functionali|- **Package Name**: azure-mgmt-cognitiveservices - **Package Version**: 13.6.0 -
#39325|closed|bug, Machine Learning, Service Attention, Client, customer-r|azure-ai-ml unable to download logs and outputs from Job|- **Package Name**: azure-ai-ml - **Package Version**: 1.24.0 - **Operating Syst
#39314|closed|bug, Machine Learning, Client, customer-reported, issue-addr|`azure.ai.ml.MLClient` causes `TypeError: Plain typing.Annotated is not valid as|- **Package Name**: `azure-ai-ml` - **Package Version**: `1.24.0` - **Operating 
#39310|closed|bug, Docs, Client, AI Model Inference|azure-ai-inference Sample Issue (load_client method failed with (404) "Resource |1. Section [link1](https://github.com/Azure/azure-sdk-for-python/blob/main/sdk/a
#39242|closed|bug, Mgmt, customer-reported, needs-team-attention, Cost Man|Unable to pass Cost Managment pagination next link url .|``` Package Name: azure-mgmt-costmanagement Package Version: 4.0.1 Operating Sys
#39238|closed|bug, Machine Learning, Service Attention, customer-reported,|CodeConfiguration code parameter bug|--- **Package Name**: `azure.ai.ml.entities` - **Package Version**: 1.23.1 - **O
#39163|open|bug, Client, Azure.Core|[azure-core][bug] wrong content-type in headers of multipart request when there |For typespec definition https://github.com/allenjzhang/typespec-e2e-demo/blob/75
#39051|closed|bug, Machine Learning, Service Attention, customer-reported,|Schema links in azure-ai-ml will become invalid on January 15|The `azure-ai-ml` package has numerous references to a CDN cache for the schemas
#38970|closed|bug, Service Bus, Client, customer-reported, Messaging|Azure service bus sender connection lost after some time.|- **Package Name**:  azure-servicebus - **Package Version**:  7.13.0 - **Operati
#38910|open|bug, Service Attention, Client, customer-reported, needs-tea|**azure-communication-callautomation** RuntimeWarning: coroutine 'CallMediaOpera|- **Package Name**: azure-communication-callautomation - **Package Version**: 1.
#38815|closed|bug, Storage, Service Attention, Client, customer-reported|Inconsistent URL encoding between blob and Datalake SDKs|- **Package Name**: `azure-storage-file-datalake` - **Package Version**: `12.18.
#38717|closed|bug, Service Bus, Client, customer-reported, Messaging|receiver.peek_messages() fails for some queues and works for others|- **Package Name**: azure-servicebus - **Package Version**: 7.13.0 - **Operating
#38713|open|bug, Client, customer-reported, Azure.Core, needs-team-atten|poller.continuation_token() crashes if initial request use file stream as input|- **Package Name**: azure-ai-documentintelligence - **Package Version**: 1.0.0b4
#38687|open|bug, Docs, Client, needs-team-attention, test-manual-pass|Communication Messages Readme Issue|Section [link1](https://github.com/Azure/azure-sdk-for-python/blob/main/sdk/comm
#38686|closed|bug, Service Attention, Client, test-manual-pass, issue-addr|AI Evaluation Samples Issue|Section [link1](https://github.com/Azure/azure-sdk-for-python/blob/main/sdk/eval
#38591|open|bug, Service Attention, Client, customer-reported, needs-tea|Glossary term not visible in Purview|- **Package Name**:  azure.purview.datamap.operations - **Package Version**:  [1
#38518|closed|bug, Storage, Service Attention, Client, customer-reported|`DataLakeFileClient.set_file_expiry()` with `expiry_options="NeverExpire"` Fails|- **Package Name**: azure-storage-file-datalake - **Package Version**: 12.17.0 -
#38264|closed|bug, KeyVault, Client, customer-reported, Azure.Identity|HTTP transport has already been closed only on ClientSecretCredential|- **Package Name**:  azure-keyvault - **Package Version**: 4.2.0 - **Operating S
#38189|closed|bug, Service Bus, Service Attention, Client, customer-report|Sending scheduled large message to service bus premium failure|- **Package Name**: azure-servicebus - **Package Version**: 7.12.3 - **Operating
#38155|open|bug, Machine Learning, Service Attention, Client, customer-r|mltable.from_delta_lake() results in invalid table version error when specifying|- MLTable - 1.6.1 - mcr.microsoft.com/azureml/openmpi4.1.0-ubuntu20.04:latest (i
#37842|closed|bug, Client, customer-reported, issue-addressed, Document In|Incorrect version and table API version mismatch|### Type of issue  Typo  ### Description  <html xmlns:o="urn:schemas-microsoft-c
#37790|closed|bug, Client, customer-reported, needs-team-attention, Monito|ImportError: cannot import name 'AccessTokenInfo' from 'azure.core.credentials'|- **Package Name**: azure-identity - **Package Version**: 1.18.0 and 1.19.0 - 
#37747|open|bug, Service Attention, Client, customer-reported, needs-tea|azure.monitor.opentelemetry logs exception even when the exception is handled in|- **Package Name**: azure.monitor.opentelemetry - **Package Version**: 1.4.0 -
#37704|closed|bug, Machine Learning, Service Attention, Client, customer-r|AzureML SDK - No module named 'azure.ai.ml.entities._datastore.credentials'|- **Package Name**:  azure-ai-ml - **Package Version**:  1.20.0 - **Operating 
#37659|closed|bug, Service Attention, Client, customer-reported, needs-aut|Document Intelligence analysis is taking forever|- **Package Name**: azure-ai-documentintelligence==1.0.0b2 - **Operating System
