Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#25714|closed|bug, Storage, Client, customer-reported, needs-team-attentio|[BUG] DataLakeFileClient.rename() is not working when authenticated with SAS|**Query/Question** Is it possible to use DataLakeFileClient.rename() when authe
#25479|closed|bug, Service Bus, Client, customer-reported, needs-author-fe|[BUG] Why Are the Traces for Multiple Service Bus Messages Correlated Under Same|**Query/Question** As we regularly experienced issues similar to the following 
#25422|closed|bug, KeyVault, Client, azure-spring, test-reliability|[BUG] Broken Key Vault JCA test (`HttpUtilTest`)|**Describe the bug** Recently the Key Vault pipelines have started failing with
#25298|closed|bug, Client, customer-reported, azure-spring|[BUG] azure-spring-boot-bom 3.10.0 version mismatch from bom vs starter dependen|**Describe the bug**  azure-spring-boot-starter-keyvault-secrets:jar:3.10.0 co
#25255|closed|bug, Client, customer-reported, azure-spring, azure-spring-j|[BUG] azure-security-keyvault-jca / throws UnsupportedSchemeException while usin|**Describe the bug**  azure-security-keyvault-jca throws exception while using 
#25231|closed|bug, Compute - VMSS, Mgmt, customer-reported, issue-addresse|[BUG] NullPointerException in listing VMScaleSets and VMs of VMScaleSet|**Describe the bug**  We are getting NullPointerException in listing VMs. This 
#25168|closed|bug, Client, Azure.Core|[BUG] Request with payload of BinaryData from InputStream fails due to invalid c|**Describe the bug**  Request fails due to invalid content length.  code ``
#25164|closed|bug, Client, Azure.Core|[BUG]JsonFlattern style annotation not working in azure-core version 1.21.0|**Describe the bug** JsonFlattern style annotation not working in azure core. 
#25149|closed|bug, Service Bus, Client, pillar-reliability, amqp|Missing untracking of subscription in AmqpChannelProcessor and GC pressure on lo|`1. AmqpChannelPrcoessor` maintains a dequeue of "ChannelSubscriber" waiting for
#25084|closed|bug, Client, customer-reported, Azure.Identity|[BUG] Azure Identity 1.4.0 - authentication causes timeout|**Describe the bug** Our API layer uses azure-identity and Managed Identity to 
#25039|closed|bug, Event Hubs, Client|investigate Updating checkpoint interval defaults|from @jsquire's investigation in .NET, to change our current defaults:  * Defa
#24995|closed|bug, Client, azure-spring|[BUG] AzureMessagingListener annotation cannot be used with Event Hubs and Servi|**Describe the bug** **AzureMessagingListener** annotation cannot be used with 
#24887|closed|bug, Storage, Client, customer-reported, Docs|[Docs Update] Update metadata documentation on methods which set metadata|I'm in need of creating metadata field with value containing various characters 
#24762|closed|bug, Service Bus, Client, Azure.Core, pillar-reliability|EmissionException: Spec. Rule 1.3 encountered when trying to recover receiver.|* From: https://github.com/Azure/azure-sdk-for-java/issues/21156#issuecomment-93
#24741|closed|bug, Client, WebPubSub, DPG|[BUG] [Web PubSub] beta4 generate bad audience|**Describe the bug** azure-messaging-webpubsub 1.0.0-beta.4 is not normalizing 
#24691|closed|bug, Azure.Core, Docs|[QUERY] Why there is no "up for grabs" issues?|**Query/Question**  Why there is no "up for grabs" issues? In your README file 
#24649|closed|bug, azure-spring, azure-spring-eventhubs|[BUG] UnsupportedOperationException when building nativeHeaders|**Describe the bug** The `UnsupportedOperationException ` will be encountered w
#24631|closed|bug, Storage, Client, customer-reported, needs-team-attentio|[BUG] BlobContainerClientBuilder: container name is ignored if provided before c|**Describe the bug** The container name is ignored if provided before connectio
#24614|closed|bug, Client, Azure.Core|[BUG] Recording framework is broken with latest core|**Describe the bug** Attempting to record why of `BlobAPITest` fails.  Revert
#24447|closed|bug, Mgmt, Mgmt - Track 2|[BUG] call Sql server removeAccessFromAzureServices will fail: "Resource not fou|![image](https://user-images.githubusercontent.com/17075863/135208569-ac108f5e-1
#24445|closed|bug, azure-spring, azure-spring-eventhubs|[BUG] When eventhub sends messages, it may happen that the message is not comple|**Describe the bug** When eventhub sends messages, it may happen that the messa
#24426|closed|bug, Event Hubs, Client, customer-reported, needs-author-fee|[BUG] Eventhub SDK 5.10.0 stops reading Partitions|**Describe the bug** I am using `EventProcessorClient` from `azure-messaging-ev
#24422|closed|bug, Cosmos, Client, cosmos:v4-item|Reduce timeout of read/query methods [Cosmos DB Java SDK]|The Cosmos DB java SDK has a default fixed timeout of 65sec for read/query opera
#24256|closed|question, bug, Client, customer-reported, azure-spring|Why do you use key instead of value for user-flows?|https://github.com/Azure/azure-sdk-for-java/blob/945e3147608ebffbe1ffa392be21f26
#24235|closed|bug, Service Bus, Client, customer-reported, duplicate|ServiceBusAdministrationClient 400 error when adding subscription with forwardTo|**Describe the bug** This bug appears to be very similar to [#8350](https://git
#24230|closed|bug, Event Hubs, Service Bus, Client, Azure.Core|[BUG] - Proxy authentication not set correctly in ServiceBusClientBuilder|**Describe the bug** When service bus client is created from the apps behind co
#24226|closed|bug, Storage, Client|[BUG] BlobStorageException isn't translated to DataLakeStorageException if React|The "Download file etag lock" has been flaky for some time. https://github.com/
#24064|closed|bug, Service Bus, Client, customer-reported|[BUG] Abandoned messages in a session queue are not made re-available immediatel|**Describe the bug** Upon abandoning a message in a session based queue, the me
#24047|closed|bug, Service Bus, Client, customer-reported, needs-team-atte|[BUG] ServiceBusProcessorClient not obeying maxConcurrentSessions|**Describe the bug** MaxConcurrentSessions is not being obeyed by session based
#23943|closed|bug, ARM, Mgmt, customer-reported, issue-addressed|Java Billing-resource-manager doesn't not work and consumption-resource-manager |I'm trying to get my account billings via Java and I used sample from azure docu
#23939|closed|bug, Client, customer-reported, needs-team-attention, azure-|[BUG] SSL Exception with spring-data-cosmosdb SDK version “3.6.0” |We have few microservice in JAVA Spring boot deployed on AKS and we are using sp
