Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#6403|closed|bug, Service Attention, Mgmt, customer-reported|azure-mgmt-consumption is using the wrong API version|Hello,  Using the following PIP packages.  ``` azure-common (1.1.23) azure
#5412|closed|bug, Service Attention, Mgmt, customer-reported, Resource Gr|ResourceGraphClient's resources method not handling correctly HTTP 429 responses|In a scenario where the Azure Resource Graph API is throttling requests for a sp
#5167|closed|bug, Compute - VM, Service Attention, Mgmt, customer-reporte|CloudError: Azure Error: OperationPreempted|I have a piece of code that uses API mentioned below to create VM. However, I se
#4546|closed|bug, RestAPI, HDInsight, Service Attention, Mgmt|Azure HDinsight create cluster|
#4210|closed|bug, Swagger, Cosmos, Mgmt|cosmosdb client create_or_update() method throws inconsistent and uninformative |``` client = get_client_from_cli_profile(azure.mgmt.cosmosdb.CosmosDB) async_c
#4104|closed|bug, Compute, Service Attention|InvalidApiVersionParameter while trying virtual_machines.get|Getting error as below while running "compute_client.virtual_machines.get"  Tr
#3692|closed|bug, Service Bus, Client, customer-reported|Azure Service Bus Proxy Broken?|Hi,  i'm trying to use the Azure Service Bus SDK behind a Proxy, but no matter
#3589|closed|bug, ARM, Mgmt, Policy|Policy definition properties are of generic type "object"|Hi,  I'm trying to create policy definitions using the Python SDK. On the docu
#3353|closed|bug, Network - Traffic Manager, Service Attention, Mgmt, cus|Problem with traffic manager is causing `az aks list` to fail|You can see more details in this slack thread: https://kubernetes.slack.com/arc
#3238|closed|bug, RestAPI, Network, Service Attention, Network - Virtual |[azure-mgmt-network] No security rule name validation|There is no security rule names validation when create via `azure.mgmt.network.N
#3158|closed|bug, Service Bus, Service Attention, Client|Service Bus Management API does not report Schedule Message Count|Hi team,  We’re using the Python Azure Management SDK to monitor our productio
#3149|closed|bug, Service Bus, RestAPI, Service Attention, Mgmt|[azure-mgmt-servicebus] Creating Topic Rule "Bad Request"|Following an example similar to: https://github.com/Azure/azure-sdk-for-python/b
#3142|closed|bug, Autorest Issue, customer-reported|Azure python SDK file descriptor leak under multi-thread stress enviroment|We recently found file descriptor leaking while stress testing with Azure soluti
#2863|closed|bug, Docs, customer-reported|Error in documentation for spellcheck api|Wasn't sure if this was the best place to post but the [docs](https://docs.micro
#2857|closed|bug|Cannot use get_client_from_auth_file and get_client_from_cli_profile for GraphRb|https://stackoverflow.com/questions/51101205/azure-sdk-python-status-code-not-fo
#2852|closed|bug, KeyVault, Service Attention|azure-keyvault 1.0.0 doesn't work with MSIAuthentication|It looks like the issue is in KeyVaultAuthentication._init_ method:  ```python
#2769|closed|bug|Computer Vision - Text Recognition - OcrResult object DeserializationError / uni|I have modified the example `image_analysis_in_stream` at `https://github.com/Az
#2754|closed|bug, RestAPI, Compute - Managed Disks, Service Attention|One or more errors occurred while preparing VM disks for ScaleSets with Managed |I'm trying to update from azure 2.0.0 to azure 3.0.0. I have a new virtualenv fo
