Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#17150|closed|Storage, Client, bug|Improve Error Messages and comments for clearer understanding on how to construc|Currently when constructing a SAS or using `Client.GenerateSas(SasBuilder ..)` i
#17149|closed|Storage, Service Attention, Client, customer-reported, bug|[BUG] Core 15x slower reading blobs than Framework|**Describe the bug** I am seeing the v12 Blobs library taking 45 seconds to rea
#17142|closed|Storage, Service Attention, Client, customer-reported, bug|Not able to access properties of the container created using URI with SAS_Token|**Query/Question** Not able to access properties of the container created using
#17052|closed|Client, Azure.Identity, customer-reported, bug, needs-team-a|SharedTokenCacheCredential authentication fails in Azure.Identity on ubuntu|We have written an internal command line tool that allows us to read secrets fro
#16974|closed|Client, customer-reported, bug, Tables|[BUG] Tables - ETag represents null value unless `TableEntity` is used.|To reproduce:  1. Add an entity to table storage. 2. Create a class that impl
#16953|closed|Storage, Client, bug|[BUG] GetClient from another client does not pass the Shared Key unable to Gener|**Describe the bug** If attempting to generate a SAS from a client that is crea
#16825|closed|Storage, Service Attention, Client, customer-reported, bug|PageBlobClient.DownloadAsync hangs on AppService|**Describe the bug** Under some circumstances, calls to PageBlobClient.Download
#16816|closed|Storage, Service Attention, Client, customer-reported, bug|[BUG] ShareFileClient.UploadAsync() has memory leak when upload a big file|**Describe the bug** Please provide the description of issue you're seeing. Sh
#16795|closed|Client, Azure.Identity, bug|VisualStudioCodeCredential throws AuthenticationFailedException on Linux when li|When authenticating with the `DefaultAzureCredential` on Linux or in a Linux con
#16779|closed|Storage, Service Attention, Client, customer-reported, bug|BlockBlobClient streaming API generates incorrect content hash [BUG]|As this is a bug I encountered during my day job, and it seems to me to be a bug
#16702|closed|Client, Azure.Identity, bug|Azure.Identity.CredentialUnavailableException not marked Serializable|Looks similar to this issue https://github.com/Azure/azure-sdk-for-net/issues/43
#16701|closed|bug, Service, Cognitive - Metrics Advisor|[MetricsAdvisor] Service returns 0 CustomFillValue even if fill type is not Cust|In `DataFeedMissingDataPointFillSettings`, `CustomFillValue` is set only when `F
#16631|closed|Storage, Client, bug|DataLakeAclChangeFailedException when InnerException is RequestFailedException s|Currently the `DataLakeAclChangeFailedException` stores the `RequestFailedExcept
#16581|closed|bug, Service, Cognitive - Metrics Advisor|[MetricsAdvisor] Bug: incident's severity not always returned|If an incident is already resolved (Status = Resolved), the `maxSeverity` requir
#16570|closed|Search, Client, customer-reported, bug, needs-team-attention|[BUG] [Azure.Search.Documents] Scoring profiles with functions creates exception|**Describe the bug** I want to create s scoring profile without any functions o
#16473|closed|Client, bug, blocking-release, Cognitive - Metrics Advisor|[MetricsAdvisor] CreateDataFeed sample fails to ingest data|Creation is successful, but if you call `GetDataFeedIngestionStatuses`, you'll s
#16416|closed|Service Attention, Mgmt, customer-reported, bug, Kusto|[Kusto/ADX] Database principal assignment fails constantly if tried too early af|My team is attempting to create ADX databases for customers onboarded to our sol
#16328|closed|Client, Azure.Identity, customer-reported, bug|[BUG] Azure.Identity 1.4.0 spelling mistake in ClientCertificateCredentialOption|**Describe the bug** In the 1.4.0 beta release of Azure.Identity, there is a sp
